Density,Trial,Method,AUROC,AUPR
0.01,71,ICM,0.4664633543308235,0.008868960526319246
0.01,72,SPSID,0.9172422902947279,0.14929419588398893
0.01,72,RENDOR,0.8723039120928215,0.09129919615632434
0.01,72,ND,0.8399444136586036,0.056420742980087216
0.01,72,NE,0.8284469760428882,0.09018491396833668
0.01,72,Silencer,0.5448642773990403,0.011237250195285526
0.01,72,ICM,0.411276638701668,0.00847064619800443
0.01,73,SPSID,0.8872818285322315,0.11713269118567933
0.01,73,RENDOR,0.8400669234634792,0.06518386689650227
0.01,73,ND,0.8218377143998323,0.06660113569492854
0.01,73,NE,0.7846721824798585,0.06438688104831002
0.01,73,Silencer,0.5503879628936204,0.011188335588368264
0.01,73,ICM,0.43192279598111905,0.007617141156204813
0.01,74,SPSID,0.9051403894049542,0.1349593992766427
0.01,74,RENDOR,0.8478056004308024,0.0894779447677902
0.01,74,ND,0.8453755006394724,0.08814010132803142
0.01,74,NE,0.7806441841680131,0.06291781999151563
0.01,74,Silencer,0.5483926948707594,0.01199618777111961
0.01,74,ICM,0.4052529281098546,0.007566102917047258
0.01,75,SPSID,0.8976744186046512,0.16077799410970098
0.01,75,RENDOR,0.8595422373379905,0.10152446479263054
0.01,75,ND,0.8526748782057176,0.09444570001940435
0.01,75,NE,0.8048423568342676,0.09999176832845258
0.01,75,Silencer,0.5511692251126024,0.014588049159552682
0.01,75,ICM,0.4752275025278059,0.012198007457330943
0.01,76,SPSID,0.8948141414141413,0.16478002893379418
0.01,76,RENDOR,0.8360626262626262,0.08073825159100652
0.01,76,ND,0.8372853535353535,0.09702246760367475
0.01,76,NE,0.7897292929292928,0.06332951937151372
0.01,76,Silencer,0.5104818181818181,0.01105173009900295
0.01,76,ICM,0.43261010101010106,0.008383336429198291
0.01,77,SPSID,0.9114523724767435,0.20669849952019995
0.01,77,RENDOR,0.8666675597983564,0.07568466442562059
0.01,77,ND,0.8464559896600868,0.11042198868977052
0.01,77,NE,0.8307432514331575,0.08032731802809306
0.01,77,Silencer,0.5129823070612268,0.008793717801888435
0.01,77,ICM,0.4965639947994218,0.007763467933078985
0.01,78,SPSID,0.8887261212066551,0.17386880041231081
0.01,78,RENDOR,0.8388759373186513,0.11276790608919492
0.01,78,ND,0.8310817643409413,0.10479873664399417
0.01,78,NE,0.8244801075724323,0.0854721094667478
0.01,78,Silencer,0.5292298568160638,0.01403512269220156
0.01,78,ICM,0.48787350400253626,0.011004464133975034
0.01,79,SPSID,0.8525734754878248,0.13580719690593238
0.01,79,RENDOR,0.8019871929771817,0.08185286478087356
0.01,79,ND,0.7928064579899953,0.07610340645998519
0.01,79,NE,0.7527068478125207,0.07264927622766301
0.01,79,Silencer,0.5116983198184535,0.011789786037647649
0.01,79,ICM,0.5171607546468504,0.011805807140780809
0.01,80,SPSID,0.9233999056596175,0.2575152890637668
0.01,80,RENDOR,0.8712222449967822,0.11450629755674366
0.01,80,ND,0.8546034794952879,0.1309130427080599
0.01,80,NE,0.8455373150225871,0.1282006490950598
0.01,80,Silencer,0.5161220016272372,0.011337990710097234
0.01,80,ICM,0.5146138086035923,0.011676752968892461
0.01,81,SPSID,0.9232199784995906,0.1984343816679739
0.01,81,RENDOR,0.8840512967492457,0.1129278706342111
0.01,81,ND,0.8753950166911074,0.11200603426183617
0.01,81,NE,0.8556592546833884,0.1006456411900103
0.01,81,Silencer,0.49189514330050765,0.011066337840763236
0.01,81,ICM,0.429791609275043,0.009098791187479928
0.01,82,SPSID,0.9205947415481783,0.18271722946900731
0.01,82,RENDOR,0.881201577432176,0.1087650270144695
0.01,82,ND,0.8646487474092797,0.11429938861644579
0.01,82,NE,0.8685852211351102,0.10165407849606718
0.01,82,Silencer,0.5534941776626922,0.011130871822974548
0.01,82,ICM,0.45523028338992855,0.006741848491846717
