Beta,Trial,Method,AUROC,AUPR
0.1,65,SPSID,0.9151152795862662,0.43624489019352297
0.1,65,RENDOR,0.8567601249212801,0.2783758509582655
0.1,65,ND,0.8501134750800496,0.2596702856448352
0.1,65,NE,0.8006149449682742,0.25675584534917906
0.1,65,Silencer,0.5149837386667764,0.05515206956672343
0.1,65,ICM,0.4158131882082324,0.04151754390555952
0.1,66,SPSID,0.9123871362850482,0.4466588457644856
0.1,66,RENDOR,0.8579531711782291,0.25305942937301606
0.1,66,ND,0.8444550291998085,0.25694986893589056
0.1,66,NE,0.8044056651945282,0.23518679241311527
0.1,66,Silencer,0.5138066924609848,0.053160781748610456
0.1,66,ICM,0.4341137322575838,0.04445598734017754
0.1,67,SPSID,0.9204026537297775,0.4506053104741624
0.1,67,RENDOR,0.8678393762223866,0.2832313620061188
0.1,67,ND,0.8590225596559428,0.26418146520458746
0.1,67,NE,0.8331479126933673,0.23921702898436584
0.1,67,Silencer,0.5412819296947464,0.054011794754247625
0.1,67,ICM,0.4716645128344085,0.04493935763321371
0.1,68,SPSID,0.910066736916052,0.49483068076942305
0.1,68,RENDOR,0.8604847207586933,0.2720208019135439
0.1,68,ND,0.8492493646562944,0.2594329002992507
0.1,68,NE,0.8072125457137544,0.24571638058115355
0.1,68,Silencer,0.5115221388871671,0.052746203285631975
0.1,68,ICM,0.44420793818054094,0.04410457222187026
0.1,69,SPSID,0.9252672214127375,0.4535650183754612
0.1,69,RENDOR,0.8687561310798215,0.28521963180872434
0.1,69,ND,0.8618394346914116,0.26194261739599106
0.1,69,NE,0.8272058587610349,0.25431408359661245
0.1,69,Silencer,0.53705030036728,0.0579347669458047
0.1,69,ICM,0.46842484835701037,0.04863901360978156
0.1,70,SPSID,0.9148080489269338,0.44590404783576093
0.1,70,RENDOR,0.8625526171764993,0.27311548885511394
0.1,70,ND,0.862630619716364,0.2570061366124318
0.1,70,NE,0.7999907544673457,0.2543371601748928
0.1,70,Silencer,0.5239597447382823,0.05456521608036916
0.1,70,ICM,0.4557534312084549,0.04590672664686121
0.1,71,SPSID,0.9152590702372494,0.48095266241351337
0.1,71,RENDOR,0.8612816476742273,0.27669442982605913
0.1,71,ND,0.8616730114883403,0.26917637708567166
0.1,71,NE,0.7982978143092698,0.2639720618861905
0.1,71,Silencer,0.5019405341333335,0.05110489538229696
0.1,71,ICM,0.4654143654999717,0.04432383194475989
0.1,72,SPSID,0.9088247012918587,0.42959835336191526
0.1,72,RENDOR,0.8593333388174095,0.2711142216382642
0.1,72,ND,0.8478181497190783,0.25800398273518815
0.1,72,NE,0.7873067469535429,0.223260725010199
0.1,72,Silencer,0.5364075166436441,0.05906714472801184
0.1,72,ICM,0.4921305615124576,0.04916700865537021
0.1,73,SPSID,0.9055927271056894,0.42469297928608657
0.1,73,RENDOR,0.8535668959419703,0.2713218380178241
0.1,73,ND,0.843822221777523,0.257766053227256
0.1,73,NE,0.8074159080691461,0.2476078731782828
0.1,73,Silencer,0.5358407624004572,0.05209186044423328
0.1,73,ICM,0.475552583650769,0.04297475111004631
0.1,74,SPSID,0.9196151169704772,0.47855182349716935
0.1,74,RENDOR,0.8666042116724578,0.27579750450122953
0.1,74,ND,0.8493438923440568,0.2511493781360191
0.1,74,NE,0.8170065367505924,0.26567645380364946
0.1,74,Silencer,0.5059538079604691,0.0486592586558106
0.1,74,ICM,0.45962615941851914,0.04292770191214518
0.1,75,SPSID,0.9124911407977964,0.44422236247708086
0.1,75,RENDOR,0.8667588525160136,0.2933592765598566
0.1,75,ND,0.8538676685922896,0.26040830777594104
0.1,75,NE,0.8147766478116099,0.25361913768653016
0.1,75,Silencer,0.540347606678167,0.05829730990920133
0.1,75,ICM,0.42241302937912034,0.04142910414671081
0.1,76,SPSID,0.9149410993092052,0.4455551715633518
0.1,76,RENDOR,0.8532658940790047,0.25583887433469404
0.1,76,ND,0.8455297524002221,0.24400239729148318
0.1,76,NE,0.8130334145146627,0.23833390201389798
0.1,76,Silencer,0.5129486076539339,0.04839606585343366
