Trial,Method,AUROC,AUPR
92,ND,0.8661705718077375,0.2765443922193137
92,NE,0.8289048845473731,0.2806395923437777
92,Silencer,0.4861627008150604,0.04806120099033647
92,ICM,0.43643906201367444,0.04147124305846414
93,SPSID,0.9127509547251508,0.4477500070613418
93,RENDOR,0.8596442548684636,0.26863427415317503
93,ND,0.8474762164144666,0.24378865426557278
93,NE,0.8081689994198786,0.24443782667713454
93,Silencer,0.5432739749146087,0.059771114487861106
93,ICM,0.4595240061182633,0.04409535468867113
94,SPSID,0.9105546391332682,0.43464111981630343
94,RENDOR,0.8618247325404583,0.2724717606131846
94,ND,0.8518576855585424,0.25754345434371795
94,NE,0.8119314787661561,0.259855858318081
94,Silencer,0.5142429418513088,0.052751531301903326
94,ICM,0.45929981943086784,0.045828015918134
95,SPSID,0.9033072175294183,0.4261865359837882
95,RENDOR,0.8453191825406305,0.2696222111658859
95,ND,0.836228262158815,0.2379593635629116
95,NE,0.7880729318790068,0.23984572848469013
95,Silencer,0.5037543581252346,0.05256993081389092
95,ICM,0.43289082263643835,0.042747636273123
96,SPSID,0.9144686282635723,0.414593545803557
96,RENDOR,0.8605123359580051,0.25787018815385016
96,ND,0.8556447023069484,0.24618961299746156
96,NE,0.8132368559193257,0.232405378200996
96,Silencer,0.5351942533499102,0.05299227318094139
